legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin
7976;michaela.banks;)sC2(Ee@AK;04/09/2022;16/01/2025
2316;craig.haynes;1xg0I(+u)X;04/04/2021;14/01/2025
2448;taylor.reynolds;^0YFuIq)+r;27/05/2021;20/11/2024
3018;james.marsh;uw1E#bxu^b;29/09/2021;22/02/2025
2191;sean.parker;u6BLDOBc!U+;11/07/2021;19/05/2025
1500;gloria.washington;123456789;31/03/2024;19/05/2025
2945;monica.mitchell;abc123456789;23/11/2022;19/05/2025
5343;timothy.harrison;qO@m7!Oz&P;06/09/2023;19/05/2025
2376;brandon.morrison;h9HH$hs0*3+;08/12/2021;19/05/2024
2034;zachary.mills;987654321;21/05/2021;13/06/2025
